"cell_type","Gene","Correlation","P.Value","FDR","sig"
"B_Cells","LGALS1",NA,NA,NA,""
"B_Cells","LGALS3",NA,NA,NA,""
"B_Cells","LGALS9",NA,NA,NA,""
"Monocytes_Myel","LGALS1",0.0567709473342104,3.39116506552291e-34,5.08674759828437e-33,"*"
"Monocytes_Myel","LGALS3",0.026686180023664,1.43590931799383e-05,5.38465994247688e-05,"*"
"Monocytes_Myel","LGALS9",0.0167135312894587,0.00716860951672322,0.013441142843856,"*"
"NK_Cells","LGALS1",0.00475636826867495,0.000312267498746096,0.00078066874686524,"*"
"NK_Cells","LGALS3",0.00162688832082123,0.321506448887649,0.438417884846794,""
"NK_Cells","LGALS9",-8.53845872983574e-05,0.958704432102695,0.958704432102695,""
"Neutrophils","LGALS1",-0.0561044286176024,2.11522080301796e-27,1.58641560226347e-26,"*"
"Neutrophils","LGALS3",-0.0299475402338734,8.4632760852636e-06,4.2316380426318e-05,"*"
"Neutrophils","LGALS9",-0.00433842774187011,0.524913879573177,0.656142349466471,""
"T_Cells_CD4","LGALS1",-0.00284112090193642,0.0211297417008086,0.0352162361680143,"*"
"T_Cells_CD4","LGALS3",0.000400728215018208,0.793013614242354,0.849657443831093,""
"T_Cells_CD4","LGALS9",-0.00569383566324527,0.000184254005772654,0.000552762017317962,"*"
"T_Cells_CD8","LGALS1",-0.00258176608334644,0.166090956588951,0.249136434883427,""
"T_Cells_CD8","LGALS3",0.00123374367437002,0.592648098667397,0.683824729231612,""
"T_Cells_CD8","LGALS9",-0.00659588329704495,0.00423856729627677,0.00908264420630736,"*"
